,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,1.0,0.0,1.0,0.0,-1.2801570035428302,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1,0,-1.1616113317725845,-0.9941233945049451,0
1,0.0,0.0,0.0,0.0,0.06429811287810074,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1,0,1,-0.2608593699300879,-0.1737274642973765,0
2,0.0,0.0,0.0,0.0,-1.2394159394088626,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,1,1,-0.36389741722572405,-0.9595808723447253,1
3,0.0,0.0,0.0,0.0,0.5124498183517444,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0,1,0,2,-0.7477972386014008,-0.1952338238798888,0
4,1.0,0.0,0.0,0.0,-1.2394159394088626,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.19616422694571753,-0.9403905822557144,1
5,1.0,0.0,0.0,0.0,-0.994969554605057,1.0,1.0,0.5,0.0,0.0,1.0,0.0,1.0,1,0,1,0,1.158406636367868,-0.6453233287836458,1
6,0.0,0.0,0.0,1.0,-0.4245946567295104,1.0,1.0,0.5,0.0,1.0,0.0,0.0,1.0,0,0,1,3,0.8077448947649769,-0.14730221426676138,0
7,1.0,0.0,0.0,0.0,-0.9134874263371218,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,1,-1.164935139749863,-0.8741068791321764,0
8,1.0,0.0,1.0,0.0,-0.18014827192570484,1.0,1.0,0.5,0.0,0.0,1.0,1.0,1.0,1,0,1,0,1.3295827471977149,0.33649161621861495,1
9,0.0,0.0,0.0,1.0,1.2050479086291939,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1,0,2,-0.2874498337483167,0.5314384941573261,0
10,0.0,0.0,1.0,1.0,-0.7912642339352188,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1,1,-0.4935259283395888,-0.7481347564904045,0
11,0.0,0.0,0.0,0.0,-0.6690410415333162,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,2,0,3,-1.5239064012959502,-0.8631220923915702,0
12,0.0,0.0,1.0,0.0,1.0420836520933234,1.0,1.0,0.5,0.0,0.0,1.0,0.0,1.0,1,1,0,3,1.1816732922088176,1.498959981713979,0
13,0.0,0.0,0.0,0.0,0.675414074887615,1.0,1.0,0.5,0.0,1.0,1.0,0.0,1.0,1,0,1,2,1.2930208594476504,1.2145025323026164,1
14,0.0,0.0,0.0,0.0,-0.3023714643276077,1.0,0.0,0.5,1.0,0.0,1.0,1.0,1.0,1,0,1,0,1.352849403038665,0.17767542237852427,0
15,1.0,0.0,1.0,1.0,1.4902353575669671,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1,2,0,3,1.6104445212777554,2.4757016316352365,0
16,1.0,0.0,0.0,0.0,0.7976372672895177,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,-1.4674016656822144,-0.5560112775532948,0
17,0.0,0.0,0.0,1.0,1.5717174858349023,1.0,1.0,0.5,1.0,0.0,1.0,0.0,1.0,1,2,0,2,1.392735098766008,2.2494326710225074,0
18,1.0,0.0,1.0,1.0,-0.9134874263371218,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,3,-0.31902600953246313,-0.7742070816458195,1
19,1.0,0.0,0.0,0.0,-0.4653357208634781,1.0,0.0,0.5,0.0,1.0,1.0,0.0,0.0,1,0,1,0,0.8393210705491235,-0.18546221639778318,0
20,0.0,1.0,0.0,0.0,-1.2801570035428302,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,1,0,-0.8358781499992832,-0.9898000647837425,1
21,0.0,0.0,1.0,0.0,-0.8320052980691867,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1,0,2,-1.4956540334890824,-0.9180680838993016,0
